module	version	spdx
github.com/agnivade/levenshtein	v1.1.1	MIT
github.com/apache/arrow/go/arrow	v0.0.0-20211112161151-bc219186db40	Apache-2.0
github.com/aymanbagabas/go-osc52/v2	v2.0.1	MIT
github.com/bahlo/generic-list-go	v0.2.0	BSD-3-Clause
github.com/buger/jsonparser	v1.1.1	MIT
github.com/charmbracelet/bubbletea	v1.3.10	MIT
github.com/charmbracelet/colorprofile	v0.2.3-0.20250311203215-f60798e515dc	MIT
github.com/charmbracelet/lipgloss	v1.1.0	MIT
github.com/charmbracelet/x/ansi	v0.10.1	MIT
github.com/charmbracelet/x/cellbuf	v0.0.13-0.20250311204145-2c3ea96c31dd	MIT
github.com/charmbracelet/x/term	v0.2.1	MIT
github.com/chewxy/hm	v1.0.0	MIT
github.com/chewxy/math32	v1.11.0	BSD-2-Clause
github.com/containerd/console	v1.0.3	Apache-2.0
github.com/d4l3k/go-bfloat16	v0.0.0-20211005043715-690c3bdd05f1	MIT
github.com/emirpasic/gods/v2	v2.0.0-alpha	BSD-2-Clause
github.com/gabriel-vasile/mimetype	v1.4.3	MIT
github.com/gin-contrib/cors	v1.7.2	MIT
github.com/gin-contrib/sse	v0.1.0	MIT
github.com/gin-gonic/gin	v1.10.0	MIT
github.com/go-playground/locales	v0.14.1	MIT
github.com/go-playground/universal-translator	v0.18.1	MIT
github.com/go-playground/validator/v10	v10.20.0	MIT
github.com/gogo/protobuf	v1.3.2	BSD-3-Clause
github.com/golang/protobuf	v1.5.4	BSD-3-Clause
github.com/google/flatbuffers	v24.3.25+incompatible	Apache-2.0
github.com/google/uuid	v1.6.0	BSD-3-Clause
github.com/klauspost/compress	v1.18.3	Apache-2.0
github.com/leodido/go-urn	v1.4.0	MIT
github.com/lucasb-eyer/go-colorful	v1.2.0	MIT
github.com/mailru/easyjson	v0.7.7	MIT
github.com/mattn/go-isatty	v0.0.20	MIT
github.com/mattn/go-runewidth	v0.0.16	MIT
github.com/mattn/go-sqlite3	v1.14.24	MIT
github.com/muesli/ansi	v0.0.0-20230316100256-276c6243b2f6	MIT
github.com/muesli/cancelreader	v0.2.2	MIT
github.com/muesli/termenv	v0.16.0	MIT
github.com/nlpodyssey/gopickle	v0.3.0	BSD-2-Clause
github.com/olekukonko/tablewriter	v0.0.5	MIT
github.com/pdevine/tensor	v0.0.0-20240510204454-f88f4562727c	Apache-2.0
github.com/pelletier/go-toml/v2	v2.2.2	MIT
github.com/pkg/browser	v0.0.0-20240102092130-5ac0b6a4141c	BSD-2-Clause
github.com/pkg/errors	v0.9.1	BSD-2-Clause
github.com/rivo/uniseg	v0.4.7	MIT
github.com/spf13/cobra	v1.7.0	Apache-2.0
github.com/spf13/pflag	v1.0.5	BSD-3-Clause
github.com/ugorji/go/codec	v1.2.12	MIT
github.com/wk8/go-ordered-map/v2	v2.1.8	Apache-2.0
github.com/x448/float16	v0.8.4	MIT
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e	MIT
github.com/xtgo/set	v1.0.0	BSD-2-Clause
go4.org/unsafe/assume-no-moving-gc	v0.0.0-20231121144256-b99613f794b6	BSD-3-Clause
golang.org/x/crypto	v0.43.0	BSD-3-Clause
golang.org/x/exp	v0.0.0-20250218142911-aa4b98e5adaa	BSD-3-Clause
golang.org/x/image	v0.22.0	BSD-3-Clause
golang.org/x/mod	v0.30.0	BSD-3-Clause
golang.org/x/net	v0.46.0	BSD-3-Clause
golang.org/x/sync	v0.17.0	BSD-3-Clause
golang.org/x/sys	v0.37.0	BSD-3-Clause
golang.org/x/term	v0.36.0	BSD-3-Clause
golang.org/x/text	v0.30.0	BSD-3-Clause
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1	BSD-3-Clause
gonum.org/v1/gonum	v0.15.0	BSD-3-Clause
google.golang.org/protobuf	v1.34.1	BSD-3-Clause
gopkg.in/yaml.v3	v3.0.1	MIT
gorgonia.org/vecf32	v0.9.0	MIT
gorgonia.org/vecf64	v0.9.0	MIT
